,train_region,test_region,loss,accuracy
278,FRH0,FRI2,0.34309227019548416,0.8923611044883728
279,FRH0,FRI3,0.7100029587745667,0.6614583730697632
280,FRH0,FRJ1,1.1787102818489075,0.5607638955116272
281,FRH0,FRJ2,0.6962027251720428,0.6944444179534912
282,FRH0,FRK1,0.6041673719882965,0.6788194179534912
283,FRH0,FRK2,0.6656892597675323,0.78125
284,FRH0,FRL0,1.4693254232406616,0.4861111044883728
285,FRH0,FRM0,0.9678539633750916,0.5652173757553101
286,FRI1,FR10,0.7562367022037506,0.6614583730697632
287,FRI1,FRB0,0.6077709197998047,0.7248263955116272
288,FRI1,FRC1,0.720661997795105,0.6258680820465088
289,FRI1,FRC2,0.6524178981781006,0.6848958730697632
290,FRI1,FRD1,0.6493797898292542,0.7309027910232544
291,FRI1,FRD2,0.7546380162239075,0.6692708730697632
292,FRI1,FRE1,0.7033277153968811,0.6814236044883728
293,FRI1,FRE2,0.6155139207839966,0.7092013955116272
294,FRI1,FRF1,1.0099830627441406,0.5885416269302368
295,FRI1,FRF2,0.8793196678161621,0.5208333134651184
296,FRI1,FRF3,0.814483642578125,0.6319444179534912
297,FRI1,FRG0,0.6483805179595947,0.7795138955116272
298,FRI1,FRH0,0.6559456586837769,0.6432291269302368
299,FRI1,FRI1,0.3728659078478813,0.8368055820465088
300,FRI1,FRI2,0.5601968616247177,0.7899305820465088
301,FRI1,FRI3,0.6565185785293579,0.7222222089767456
302,FRI1,FRJ1,1.17608642578125,0.5078125
303,FRI1,FRJ2,0.5887835770845413,0.7734375
304,FRI1,FRK1,0.7009560465812683,0.6944444179534912
305,FRI1,FRK2,0.852427214384079,0.6354166269302368
306,FRI1,FRL0,1.2982060313224792,0.4739583134651184
307,FRI1,FRM0,1.239155650138855,0.6521739363670349
308,FRI2,FR10,0.7077053189277649,0.6362847089767456
309,FRI2,FRB0,0.561644583940506,0.7204861044883728
310,FRI2,FRC1,0.59705650806427,0.7204861044883728
311,FRI2,FRC2,0.6239227056503296,0.7204861044883728
312,FRI2,FRD1,0.7102179229259491,0.7204861044883728
313,FRI2,FRD2,0.6719584465026855,0.7170138955116272
314,FRI2,FRE1,0.6506320834159851,0.6892361044883728
315,FRI2,FRE2,0.7072091996669769,0.6354166269302368
316,FRI2,FRF1,1.0091173648834229,0.5729166269302368
317,FRI2,FRF2,0.5222370624542236,0.7699652910232544
318,FRI2,FRF3,0.654290959239006,0.7039930820465088
319,FRI2,FRG0,0.74375981092453,0.6527777910232544
320,FRI2,FRH0,0.5065990686416626,0.7743055820465088
321,FRI2,FRI1,0.5764511376619339,0.7447916269302368
322,FRI2,FRI2,0.27746663242578506,0.8862847089767456
323,FRI2,FRI3,0.8370755612850189,0.6597222089767456
324,FRI2,FRJ1,1.3222987055778503,0.4756944477558136
325,FRI2,FRJ2,0.7279722988605499,0.6987847089767456
326,FRI2,FRK1,0.659766435623169,0.6805555820465088
327,FRI2,FRK2,0.6023674011230469,0.7083333730697632
328,FRI2,FRL0,1.179687261581421,0.5182291269302368
329,FRI2,FRM0,0.991101086139679,0.695652186870575
330,FRI3,FR10,0.8727944195270538,0.6675347089767456
331,FRI3,FRB0,0.9215131402015686,0.6085069179534912
332,FRI3,FRC1,0.8388859927654266,0.6588541269302368
333,FRI3,FRC2,0.7393790483474731,0.6380208730697632
334,FRI3,FRD1,0.704801470041275,0.734375
335,FRI3,FRD2,0.7158725559711456,0.6666666269302368
336,FRI3,FRE1,0.9416695237159729,0.5885416269302368
337,FRI3,FRE2,0.9079316854476929,0.6067708730697632
338,FRI3,FRF1,0.8081605732440948,0.6519097089767456
339,FRI3,FRF2,0.8396619856357574,0.6145833730697632
340,FRI3,FRF3,1.378244400024414,0.4175347089767456
341,FRI3,FRG0,1.0356992185115814,0.6319444179534912
342,FRI3,FRH0,0.968780517578125,0.6215277910232544
343,FRI3,FRI1,0.9075493216514587,0.6388888955116272
344,FRI3,FRI2,0.798196017742157,0.671875
345,FRI3,FRI3,0.397959902882576,0.8168402910232544
346,FRI3,FRJ1,1.3614925742149353,0.4748263955116272
347,FRI3,FRJ2,0.754627138376236,0.6987847089767456
348,FRI3,FRK1,0.891409695148468,0.6310763955116272
349,FRI3,FRK2,0.971210777759552,0.6310763955116272
350,FRI3,FRL0,1.4811081886291504,0.4487847089767456
351,FRI3,FRM0,0.9595442414283752,0.6086956262588501
352,FRJ1,FR10,0.6684229373931885,0.6432291269302368
353,FRJ1,FRB0,0.7804529964923859,0.5868055820465088
354,FRJ1,FRC1,0.9152245223522186,0.4600694477558136
355,FRJ1,FRC2,0.8561645448207855,0.4756944477558136
356,FRJ1,FRD1,0.6477108597755432,0.6753472089767456
357,FRJ1,FRD2,0.8370029032230377,0.5494791269302368
358,FRJ1,FRE1,0.7805778682231903,0.5928819179534912
359,FRJ1,FRE2,0.7715427279472351,0.5807291269302368
360,FRJ1,FRF1,0.7737893760204315,0.6328125
361,FRJ1,FRF2,0.8477522134780884,0.515625
362,FRJ1,FRF3,0.7295093536376953,0.6223958730697632
363,FRJ1,FRG0,0.7392018735408783,0.6076388955116272
364,FRJ1,FRH0,0.7770761847496033,0.5494791269302368
